GeneId,GeneName,GeneStart,GeneEnd
ENSG00000229142,HCG4P8,29827385,29828364
ENSG00000206341,HLA-H,29887752,29890482
ENSG00000231130,HLA-T,29896654,29897786
ENSG00000233677,DDX39BP1,29906543,29906909
ENSG00000235963,MCCD1P1,29907783,29908645
ENSG00000227262,HCG4B,29925983,29926973
ENSG00000230795,HLA-K,29926459,29929232
ENSG00000228078,HLA-U,29934101,29934286
ENSG00000206503,HLA-A,29941260,29945884
ENSG00000235290,HLA-W,29956596,29958570
ENSG00000229390,MICD,29970801,29972464
ENSG00000204625,HCG9,29975112,29978410
ENSG00000238024,DDX39BP2,29993209,29993605
ENSG00000224312,MCCD1P2,29994437,29995314
ENSG00000204623,ZNRD1ASP,30001011,30061640
ENSG00000204622,HLA-J,30005971,30009956
ENSG00000232757,ETF1P1,30031713,30033003
ENSG00000066379,POLR1H,30058899,30064909
ENSG00000204619,PPP1R11,30066709,30070333
ENSG00000204618,RNF39,30070266,30075849
ENSG00000204616,TRIM31,30102897,30113090
ENSG00000204614,TRIM40,30136124,30148735
ENSG00000204613,TRIM10,30151943,30161211
ENSG00000204610,TRIM15,30163206,30172693
ENSG00000234127,TRIM26,30184455,30213427
ENSG00000233892,PAIP1P1,30186798,30188614
ENSG00000270604,HCG17,30234039,30326134
ENSG00000236475,TRIM26BP,30238301,30242279
ENSG00000243753,HLA-L,30259584,30293014
ENSG00000231074,HCG18,30286690,30327382
ENSG00000204599,TRIM39,30326479,30343729
ENSG00000248167,TRIM39-RPP21,30328907,30346854
ENSG00000241370,RPP21,30345131,30346884
ENSG00000224372,HLA-N,30351416,30351550
ENSG00000236405,UBQLN1P1,30363112,30364280
ENSG00000226577,MICC,30414715,30419319
ENSG00000229068,TMPOP1,30466452,30467994
ENSG00000224936,SUCLA2P1,30468882,30470251
ENSG00000236603,RANP1,30485940,30486590
ENSG00000204592,HLA-E,30489509,30494194
ENSG00000235781,LINC02569,30516266,30519217
ENSG00000204590,GNL1,30541381,30556489
ENSG00000204576,PRR3,30557280,30563723
ENSG00000204574,ABCF1,30571393,30597179
ENSG00000216101,MIR877,30584332,30584417
ENSG00000204569,PPP1R10,30600413,30618612
ENSG00000204568,MRPS18B,30617840,30626395
ENSG00000137343,ATAT1,30626842,30646823
ENSG00000228415,PTMAP1,30633632,30633956
ENSG00000204564,C6orf136,30647039,30653210
ENSG00000204560,DHX16,30653119,30673006
ENSG00000146112,PPP1R18,30676389,30687895
ENSG00000137404,NRM,30688047,30691420
ENSG00000230449,RPL7P4,30696806,30697535
ENSG00000137337,MDC1,30699807,30717447
ENSG00000196230,TUBB,30717435,30725538
ENSG00000137312,FLOT1,30727709,30742732
ENSG00000137331,IER3,30743199,30744548
ENSG00000228022,HCG20,30743790,30792250
ENSG00000263608,RN7SL353P,30751038,30751289
ENSG00000214894,LINC00243,30798654,30830659
ENSG00000237923,LINC02570,30839526,30848159
ENSG00000202241,RN7SKP186,30864250,30864552
ENSG00000237775,DDR1-DT,30866982,30875918
ENSG00000204580,DDR1,30876421,30900156
ENSG00000284370,MIR4640,30890883,30890972
ENSG00000213780,GTF2H4,30908207,30914106
ENSG00000137411,VARS2,30914205,30926459
ENSG00000196260,SFTA2,30931353,30955636
ENSG00000168631,MUCL3,30934523,30954221
ENSG00000233529,HCG21,30945979,30954862
ENSG00000275906,NAPGP2,30961403,30962396
ENSG00000204544,MUC21,30983718,30989903
ENSG00000261272,MUC22,31010474,31035402
ENSG00000228789,HCG22,31053450,31059890
ENSG00000222895,RNU6-1133P,31083010,31083109
ENSG00000204542,C6orf15,31111223,31112575
ENSG00000204540,PSORS1C1,31114750,31140092
ENSG00000204539,CDSN,31115087,31120446
ENSG00000204538,PSORS1C2,31137534,31139066
ENSG00000238211,POLR2LP1,31140727,31140913
ENSG00000204536,CCHCR1,31142439,31158238
ENSG00000137310,TCF19,31158547,31167159
ENSG00000204531,POU5F1,31164337,31180731
ENSG00000204528,PSORS1C3,31173735,31177899
ENSG00000206344,HCG27,31197760,31203968
ENSG00000204525,HLA-C,31268749,31272130
ENSG00000214892,USP8P1,31275572,31278754
ENSG00000227939,RPL3P2,31280317,31281519
ENSG00000231402,WASF5P,31287510,31288964
ENSG00000256166,LINC02571,31293908,31301642
ENSG00000234745,HLA-B,31353872,31357188
ENSG00000277402,MIR6891,31355224,31355316
ENSG00000228432,DHFRP2,31366352,31366898
ENSG00000201658,RNU6-283P,31370134,31370240
ENSG00000230994,FGFR3P1,31377419,31378019
ENSG00000223702,ZDHHC20P2,31380411,31380839
ENSG00000225851,HLA-S,31382074,31382288
ENSG00000204520,MICA,31399784,31415315
ENSG00000230174,LINC01149,31441667,31446973
ENSG00000206337,HCP5,31463170,31478936
ENSG00000204516,MICB,31494881,31511124
ENSG00000219797,PPIAP9,31519480,31520291
ENSG00000225499,RPL15P4,31528114,31528693
ENSG00000204511,MCCD1,31528962,31530232
ENSG00000198563,DDX39B,31530219,31542448
ENSG00000254870,ATP6V1G2-DDX39B,31530219,31546608
ENSG00000201785,SNORD117,31536374,31536449
ENSG00000265236,SNORD84,31541101,31541178
ENSG00000213760,ATP6V1G2,31544444,31548427
ENSG00000204498,NFKBIL1,31546870,31558829
ENSG00000226979,LTA,31572054,31574324
ENSG00000232810,TNF,31575565,31578336
ENSG00000227507,LTB,31580525,31582522
ENSG00000204482,LST1,31586124,31588909
ENSG00000204475,NCR3,31588895,31593006
ENSG00000230622,UQCRHP1,31611083,31611356
ENSG00000204472,AIF1,31615217,31617021
ENSG00000204469,PRRC2A,31620715,31637771
ENSG00000200816,SNORA38,31623079,31623210
ENSG00000274494,MIR6832,31633787,31633858
ENSG00000204463,BAG6,31639028,31652705
ENSG00000204444,APOM,31652416,31658210
ENSG00000204439,C6orf47,31658298,31660778
ENSG00000204438,GPANK1,31661228,31666283
ENSG00000204435,CSNK2B,31665227,31670343
ENSG00000240053,LY6G5B,31670167,31673776
ENSG00000204428,LY6G5C,31676684,31684040
ENSG00000204427,ABHD16A,31686955,31703356
ENSG00000266776,MIR4646,31701029,31701091
ENSG00000204424,LY6G6F,31706866,31710679
ENSG00000250641,LY6G6F-LY6G6D,31706904,31717918
ENSG00000255552,LY6G6E,31711771,31714065
ENSG00000244355,LY6G6D,31715356,31717804
ENSG00000204420,MPIG6B,31718594,31726714
ENSG00000204421,LY6G6C,31718648,31721746
ENSG00000213722,DDAH2,31727038,31730617
ENSG00000213719,CLIC1,31730581,31739763
ENSG00000204410,MSH5,31739677,31762676
ENSG00000255152,MSH5-SAPCD1,31740020,31764851
ENSG00000252743,RNU6-850P,31756951,31757053
ENSG00000228727,SAPCD1,31762996,31764851
ENSG00000204396,VWA7,31765590,31777328
ENSG00000204394,VARS1,31777518,31795752
ENSG00000204392,LSM2,31797396,31806966
ENSG00000204390,HSPA1L,31809619,31815283
ENSG00000204389,HSPA1A,31815543,31817946
ENSG00000204388,HSPA1B,31827738,31830254
ENSG00000204387,SNHG32,31834608,31839766
ENSG00000201823,SNORD48,31835263,31835326
ENSG00000201754,SNORD52,31837076,31837142
ENSG00000204386,NEU1,31857659,31862905
ENSG00000204385,SLC44A4,31863192,31879046
ENSG00000204371,EHMT2,31879759,31897687
ENSG00000166278,C2,31897785,31945672
ENSG00000204366,ZBTB12,31899613,31902086
ENSG00000243649,CFB,31945650,31952084
ENSG00000204356,NELFE,31952087,31959038
ENSG00000284446,MIR1236,31956839,31956940
ENSG00000204351,SKIV2L,31959117,31969751
ENSG00000204348,DXO,31969810,31972290
ENSG00000204344,STK19,31971091,31982821
ENSG00000244731,C4A,31982057,32002681
ENSG00000204338,CYP21A1P,32005636,32008451
ENSG00000248290,TNXA,32008614,32012472
ENSG00000250535,STK19B,32013270,32013787
ENSG00000224389,C4B,32014795,32035418
ENSG00000231852,CYP21A2,32038327,32041644
ENSG00000168477,TNXB,32041153,32115334
ENSG00000252512,RNA5SP206,32078508,32078628
ENSG00000213676,ATF6B,32115264,32128253
ENSG00000204315,FKBPL,32128707,32130288
ENSG00000204314,PRRT1,32148359,32153083
ENSG00000221988,PPT2,32153441,32163678
ENSG00000258388,PPT2-EGFL8,32153845,32171978
ENSG00000241404,EGFL8,32164595,32168281
ENSG00000204310,AGPAT1,32168212,32178096
ENSG00000284469,MIR6721,32170030,32170116
ENSG00000204308,RNF5,32178405,32180793
ENSG00000277264,MIR6833,32179816,32179876
ENSG00000204305,AGER,32180968,32184322
ENSG00000204304,PBX2,32184733,32190202
ENSG00000213654,GPSM3,32190766,32195523
ENSG00000204301,NOTCH4,32194843,32224067
ENSG00000204296,TSBP1,32288526,32371912
ENSG00000237285,HNRNPA1P2,32325219,32326178
ENSG00000223335,RNU6-603P,32352877,32352983
ENSG00000204290,BTNL2,32393963,32407128
ENSG00000204287,HLA-DRA,32439878,32445046
ENSG00000196301,HLA-DRB9,32459821,32473500
ENSG00000198502,HLA-DRB5,32517353,32530287
ENSG00000251916,RNU1-61P,32549940,32550090
ENSG00000229391,HLA-DRB6,32552713,32560022
ENSG00000196126,HLA-DRB1,32578769,32589848
ENSG00000196735,HLA-DQA1,32628179,32647062
ENSG00000179344,HLA-DQB1,32659467,32668383
ENSG00000235040,MTCO3P1,32706124,32706955
ENSG00000226030,HLA-DQB3,32730758,32731695
ENSG00000237541,HLA-DQA2,32741391,32747198
ENSG00000263649,MIR3135B,32749912,32749979
ENSG00000232629,HLA-DQB2,32756098,32763532
ENSG00000241106,HLA-DOB,32812763,32820466
ENSG00000204267,TAP2,32821833,32838770
ENSG00000204264,PSMB8,32840717,32844679
ENSG00000240065,PSMB9,32844136,32859851
ENSG00000168394,TAP1,32845209,32853816
ENSG00000234515,PPP1R2P1,32879171,32879848
ENSG00000235301,HLA-Z,32896416,32896490
ENSG00000242574,HLA-DMB,32934629,32941028
ENSG00000204257,HLA-DMA,32948613,32969094
ENSG00000204256,BRD2,32968594,32981505
ENSG00000204252,HLA-DOA,33004182,33009591
ENSG00000231389,HLA-DPA1,33064569,33080775
ENSG00000223865,HLA-DPB1,33075990,33089696
ENSG00000224796,RPL32P1,33079451,33079860
ENSG00000231461,HLA-DPA2,33091753,33097295
ENSG00000228688,COL11A2P1,33103794,33107330
ENSG00000224557,HLA-DPB2,33112451,33129084
ENSG00000237398,HLA-DPA3,33131216,33143325
ENSG00000230313,HCG24,33144783,33147767
ENSG00000204248,COL11A2,33162681,33192499
ENSG00000204231,RXRB,33193588,33200665
ENSG00000202441,RNY4P10,33199601,33199696
ENSG00000112473,SLC39A7,33200445,33204439
ENSG00000204228,HSD17B8,33204655,33206831
ENSG00000199036,MIR219A1,33207835,33207944
ENSG00000204227,RING1,33208500,33212722
ENSG00000225463,ZNF70P1,33215705,33216328
ENSG00000223457,HTATSF1P1,33237799,33239690
ENSG00000232940,HCG25,33249534,33255167
ENSG00000223501,VPS52,33250272,33272047
